BachNr;GNRSO;AbschNr;Datum;Von;Bis;GSBreite;Eindol;vnatAbst;BVar;TVar;SohlVer;SohlMat;LBukVer;RBukVer;LBukMat;RBukMat;LUfbeBre;RUfbeBre;LUfbeBew;RUfbeBew;BewAlgen;BewMakro;Totholz;Notizen;WinkelEnd;UeberVeg;KGdom;UmfeldLi;UmfeldRe
1;372300;2;19.08.2014;5130;5220;1.3;0;0;1;2;1;0;1;1;0;0;4;4;1;1;1;1;3;;;1;2;2;2
1;372300;3;19.08.2014;5220;5330;1.6;0;0;1;1;1;0;2;2;3;3;4;4;2;2;1;1;3;;;1;2;2;2
1;372300;4;19.08.2014;5330;5355;1.6;0;0;1;1;1;0;1;1;0;0;4;4;2;1;1;1;3;;;2;2;2;2
1;372300;5;19.08.2014;5355;5485;1.4;0;0;1;2;1;0;1;1;0;0;4;4;2;2;1;1;3;;;2;2;2;2
1;372300;6;19.08.2014;5485;5510;3;0;0;1;2;1;0;1;2;0;7;4;3;1;1;1;1;3;;;1;2;2;5
2;572900;2;19.08.2014;5920;5945;0.7;0;0;2;2;1;0;2;2;2;2;8;0.5;1;2;1;1;3;;;4;3;5;5
2;572900;3;19.08.2014;5945;5980;0.6;0;0;3;3;6;5;6;6;7;7;0;0;0;0;1;3;3;Wasserpflanzen=Moos;;4;0;2;5
2;572900;4;19.08.2014;5980;6005;0.7;0;0;1;1;1;0;1;1;0;0;2;0.5;1;2;1;2;3;;;2;1;2;5
3;572900;2;19.08.2014;5470;5500;1.2;0;0;3;3;6;7;6;6;5;5;1;1;2;2;2;1;3;;;4;2;2;2
3;572900;3;19.08.2014;5500;5520;1.5;0;0;1;1;5;1;5;5;2;2;3;3;2;2;2;1;3;;;1;5;2;2
